player.name,Season,Goals,xG,key_passes,through_ball,assists,dribbles
Andrés Iniesta Luján,2008/2009,2,3.347671884,41,19,5,60
Bojan Krkíc Pérez,2008/2009,2,2.505859865,6,1,2,11
Carles Puyol i Saforcada,2008/2009,1,0.357229568,6,5,1,15
Daniel Alves da Silva,2008/2009,5,2.0881550257,52,11,8,62
Eiður Smári Guðjohnsen,2008/2009,3,1.78797176,8,7,1,11
Gnégnéri Yaya Touré,2008/2009,1,0.2656092905,11,8,1,21
Lionel Andrés Messi Cuccittini,2008/2009,23,18.3398217345,68,40,11,184
Samuel Eto"o Fils,2008/2009,26,24.586553071,24,18,1,57
Thierry Henry,2008/2009,17,14.228997149,28,1,7,37
Xavier Hernández Creus,2008/2009,5,4.466621414,103,41,17,55
Andrés Iniesta Luján,2009/2010,1,2.923085998,42,34,5,95
Bojan Krkíc Pérez,2009/2010,7,4.703885136,10,5,3,16
Carles Puyol i Saforcada,2009/2010,1,1.192986659,4,5,2,8
Daniel Alves da Silva,2009/2010,3,1.116002337,48,21,9,34
Gnégnéri Yaya Touré,2009/2010,1,1.046052334,13,8,4,30
Lionel Andrés Messi Cuccittini,2009/2010,34,24.729158767,59,49,10,249
Pedro Eliezer Rodríguez Ledesma,2009/2010,11,5.837126769,25,10,3,43
Seydou Kéita,2009/2010,5,3.6789395435,13,3,1,26
Thierry Henry,2009/2010,4,4.783349257,8,2,2,13
Xavier Hernández Creus,2009/2010,3,4.015024351,93,61,15,47
Zlatan Ibrahimovic,2009/2010,14,13.000089911,32,11,7,24
Andrés Iniesta Luján,2010/2011,8,4.056199473,42,45,3,106
Bojan Krkíc Pérez,2010/2011,5,3.644886043,8,5,2,13
Daniel Alves da Silva,2010/2011,2,1.590984431,55,19,10,64
David Villa Sánchez,2010/2011,17,15.690110978,25,18,4,48
Gerard Piqué Bernabéu,2010/2011,3,1.823614476,8,4,1,9
Lionel Andrés Messi Cuccittini,2010/2011,31,28.16816365,67,65,18,248
Pedro Eliezer Rodríguez Ledesma,2010/2011,11,8.2920644525,26,24,6,43
Seydou Kéita,2010/2011,2,1.602936866,11,3,2,17
Xavier Hernández Creus,2010/2011,2,2.367168057,60,35,7,44
Adriano Correia Claro,2011/2012,1,1.356576276,11,2,2,32
Alexis Alejandro Sánchez Sánchez,2011/2012,11,7.890618814,23,11,4,47
Andrés Iniesta Luján,2011/2012,1,3.791971819,28,15,8,69
Daniel Alves da Silva,2011/2012,2,1.9854107743,51,24,11,68
David Villa Sánchez,2011/2012,5,5.771072789,10,4,1,17
Francesc Fàbregas i Soler,2011/2012,9,7.278212826,37,32,8,44
Juan Isaac Cuenca López,2011/2012,2,1.933203174,16,3,2,27
Lionel Andrés Messi Cuccittini,2011/2012,50,39.419669503,90,90,16,252
Pedro Eliezer Rodríguez Ledesma,2011/2012,5,6.5996854485,24,7,5,21
Sergio Busquets i Burgos,2011/2012,1,0.207048117,18,10,1,33
Thiago Alcântara do Nascimento,2011/2012,2,3.076453714,30,19,3,55
Adriano Correia Claro,2012/2013,5,1.506507636,8,1,1,14
Alexis Alejandro Sánchez Sánchez,2012/2013,5,4.884387587,25,8,5,39
Andrés Iniesta Luján,2012/2013,2,3.028380537,32,33,13,70
Cristian Tello Herrera,2012/2013,5,1.8037014335,16,4,4,22
David Villa Sánchez,2012/2013,9,6.392253858,9,7,3,14
Francesc Fàbregas i Soler,2012/2013,6,4.469421123,37,35,10,36
Jordi Alba Ramos,2012/2013,2,1.265363399,18,4,5,16
Lionel Andrés Messi Cuccittini,2012/2013,46,25.194014712,47,57,10,172
Pedro Eliezer Rodríguez Ledesma,2012/2013,5,6.174822611,17,9,6,39
Sergio Busquets i Burgos,2012/2013,1,0.07052408,10,7,2,30
Thiago Alcântara do Nascimento,2012/2013,1,1.979007574,13,5,3,44
Xavier Hernández Creus,2012/2013,5,2.860401492,37,24,4,32
Adriano Correia Claro,2013/2014,2,1.493040306,17,5,1,23
Alexis Alejandro Sánchez Sánchez,2013/2014,13,8.731173827,30,8,5,64
Andrés Iniesta Luján,2013/2014,2,1.625121071,43,28,6,70
Daniel Alves da Silva,2013/2014,2,2.261115955,35,13,3,56
Francesc Fàbregas i Soler,2013/2014,5,4.542880434,46,48,9,30
Lionel Andrés Messi Cuccittini,2013/2014,28,26.981371762,71,42,11,197
Neymar da Silva Santos Junior,2013/2014,6,8.134600338,33,7,6,79
Pedro Eliezer Rodríguez Ledesma,2013/2014,10,9.165951352,36,17,6,35
Sergio Busquets i Burgos,2013/2014,1,0.556919479,19,4,2,34
Xavier Hernández Creus,2013/2014,2,2.716413699,38,30,2,17
Gerard Piqué Bernabéu,2014/2015,5,1.894805779,2,5,1,6
Ivan Rakitic,2014/2015,5,2.435197826,34,14,6,18
Jordi Alba Ramos,2014/2015,1,1.817933818,29,9,2,30
Lionel Andrés Messi Cuccittini,2014/2015,43,32.39390287,85,93,17,224
Luis Alberto Suárez Díaz,2014/2015,16,13.766200802,53,16,11,32
Marc Bartra Aregall,2014/2015,1,1.202519908,3,3,3,4
Munir El Haddadi Mohamed,2014/2015,1,2.621740429,3,1,1,9
Neymar da Silva Santos Junior,2014/2015,22,18.6877662645,56,19,7,140
Pedro Eliezer Rodríguez Ledesma,2014/2015,6,7.616365757,22,10,5,26
Rafael Alcântara do Nascimento,2014/2015,1,1.066005935,8,5,1,38
Sergio Busquets i Burgos,2014/2015,1,0.4391469125,18,6,2,22
Xavier Hernández Creus,2014/2015,2,2.558112673,46,27,8,19
Andrés Iniesta Luján,2015/2016,1,1.603213826,29,36,2,51
Arda Turan,2015/2016,2,1.106267287,9,7,3,22
Gerard Piqué Bernabéu,2015/2016,2,1.632419581,3,5,1,9
Ivan Rakitic,2015/2016,7,4.333629447,27,17,2,16
Lionel Andrés Messi Cuccittini,2015/2016,26,24.827902884,74,107,15,179
Luis Alberto Suárez Díaz,2015/2016,34,27.559595152,51,21,13,47
Marc Bartra Aregall,2015/2016,2,0.93737134,1,2,1,1
Munir El Haddadi Mohamed,2015/2016,3,3.342811893,4,2,1,6
Neymar da Silva Santos Junior,2015/2016,16,18.5686007935,72,29,9,152
Aleix Vidal Parreu,2016/2017,2,0.777873046,5,1,2,7
André Filipe Tavares Gomes,2016/2017,3,1.908717395,9,2,1,21
Andrés Iniesta Luján,2016/2017,NA,0.842306908,24,18,2,38
Arda Turan,2016/2017,2,2.580250368,20,1,2,21
Francisco Alcácer García,2016/2017,5,4.47923718,9,1,2,2
Ivan Rakitic,2016/2017,7,3.484785167,26,6,5,28
Javier Alejandro Mascherano,2016/2017,1,1.119913336,10,13,2,1
Jordi Alba Ramos,2016/2017,1,0.497052168,18,10,5,13
Lionel Andrés Messi Cuccittini,2016/2017,37,25.947274555,76,90,9,175
Luis Alberto Suárez Díaz,2016/2017,27,21.51772322,55,16,11,41
Neymar da Silva Santos Junior,2016/2017,9,10.79250086,80,23,11,176
Aleix Vidal Parreu,2017/2018,1,1.213949861,5,3,1,4
Andrés Iniesta Luján,2017/2018,1,0.739961927,17,7,2,47
Denis Suárez Fernández,2017/2018,2,1.639138968,12,3,2,17
Francisco Alcácer García,2017/2018,4,3.007039748,10,1,3,5
Ivan Rakitic,2017/2018,1,1.894188189,28,9,5,27
Jordi Alba Ramos,2017/2018,2,1.9006890145,37,2,7,16
José Paulo Bezzera Maciel Júnior,2017/2018,9,8.845774488,9,2,2,27
Lionel Andrés Messi Cuccittini,2017/2018,34,25.363796283,84,21,13,184
Luis Alberto Suárez Díaz,2017/2018,23,20.040392422,53,8,11,42
Philippe Coutinho Correia,2017/2018,4,2.005735256,24,3,5,37
Sergi Roberto Carnicer,2017/2018,1,0.943207557,22,6,7,51
Arturo Erasmo Vidal Pardo,2018/2019,2,2.942228868,22,10,7,8
Gerard Piqué Bernabéu,2018/2019,4,3.752399481,7,4,1,16
Ivan Rakitic,2018/2019,3,2.239312543,16,22,5,26
Jordi Alba Ramos,2018/2019,2,1.691497563,41,10,6,16
Lionel Andrés Messi Cuccittini,2018/2019,36,23.717833731,91,91,13,149
Luis Alberto Suárez Díaz,2018/2019,16,18.18117522,48,22,7,61
Malcom Filipe Silva de Oliveira,2018/2019,1,1.489537865,9,1,2,9
Ousmane Dembélé,2018/2019,7,3.11086095,42,15,4,85
Philippe Coutinho Correia,2018/2019,4,6.7507147645,31,24,2,62
Antoine Griezmann,2019/2020,7,6.814204004,28,12,2,15
Arthur Henrique Ramos de Oliveira Melo,2019/2020,2,1.155555321,6,8,1,20
Arturo Erasmo Vidal Pardo,2019/2020,7,4.063940744,21,10,2,9
Clément Lenglet,2019/2020,2,0.809532738,4,5,1,5
Frenkie de Jong,2019/2020,1,0.704522082,18,16,1,32
Ivan Rakitic,2019/2020,1,1.842345536,18,11,3,8
Jordi Alba Ramos,2019/2020,1,0.79814364,22,9,5,8
Lionel Andrés Messi Cuccittini,2019/2020,25,19.486048176,86,96,19,183
Luis Alberto Suárez Díaz,2019/2020,13,12.680841286,28,14,8,24
Nélson Cabral Semedo,2019/2020,1,0.950585812,11,4,1,39
Sergio Busquets i Burgos,2019/2020,2,1.184882365,17,25,1,17
Anssumane Fati,2019/2020,5,3.372794353,15,3,NA,20
