Season,Goals,Goals_Against,xG,xGA,num_matches
2008/2009,94,29,78.0356517142,21.9017144946,31
2009/2010,93,23,72.5809944335,28.4099403645,35
2010/2011,86,18,70.739541913,25.3485065988,33
2011/2012,111,28,92.3482808958,28.9920867485,37
2012/2013,98,38,62.7241488521,31.075844854,32
2013/2014,80,28,72.639055753,26.7802113745,31
2014/2015,110,21,91.3574011188,28.2838753137,38
2015/2016,98,24,88.4580035695,28.361036037,33
2016/2017,104,32,82.1214799505,31.578328444,34
2017/2018,93,24,77.0778966225,37.266221993,36
2018/2019,82,31,69.237035935,35.412040688,34
2019/2020,72,31,61.393812269,31.8659680885,33
